iter	Passed	Remaining
0	167	166883
1	169	84767
2	172	57420
3	176	43841
4	178	35511
5	180	29916
6	182	25947
7	223	27692
8	227	25070
9	229	22733
10	231	20794
11	232	19180
12	234	17813
13	236	16641
14	237	15626
15	240	14818
16	243	14077
17	245	13371
18	246	12739
19	248	12171
20	250	11656
21	251	11186
22	253	10758
23	262	10671
24	264	10299
25	265	9956
26	267	9635
27	269	9338
28	272	9115
29	274	8865
30	275	8620
31	277	8390
32	278	8174
33	280	7973
34	282	7791
35	284	7610
36	285	7436
37	288	7292
38	297	7322
39	298	7171
40	300	7028
41	304	6951
42	305	6808
43	307	6671
44	308	6539
45	309	6413
46	310	6292
47	311	6176
48	312	6065
49	313	5959
50	314	5859
51	316	5763
52	317	5681
53	319	5596
54	320	5508
55	321	5422
56	322	5340
57	323	5260
58	325	5183
59	326	5108
60	327	5036
61	328	4968
62	329	4900
63	330	4835
64	332	4777
65	333	4724
66	335	4667
67	336	4608
68	337	4551
69	338	4496
70	339	4442
71	340	4389
72	341	4339
73	342	4290
74	343	4241
75	344	4194
76	346	4148
77	347	4111
78	349	4072
79	350	4030
80	351	3988
81	352	3948
82	353	3903
83	354	3864
84	355	3827
85	356	3790
86	357	3753
87	358	3718
88	359	3684
89	361	3652
90	363	3626
91	364	3596
92	365	3564
93	366	3533
94	367	3503
95	369	3476
96	370	3450
97	372	3427
98	374	3404
99	375	3377
100	377	3356
101	378	3333
102	379	3307
103	380	3281
104	382	3257
105	383	3235
106	385	3213
107	386	3192
108	388	3172
109	389	3150
110	391	3131
111	393	3116
112	394	3100
113	396	3082
114	398	3063
115	399	3044
116	400	3023
117	402	3006
118	403	2989
119	405	2970
120	407	2957
121	408	2942
122	410	2925
123	411	2909
124	413	2892
125	414	2876
126	415	2857
127	417	2842
128	418	2827
129	420	2812
130	422	2803
131	424	2789
132	425	2776
133	427	2761
134	428	2747
135	430	2732
136	431	2718
137	433	2704
138	434	2693
139	437	2686
140	438	2674
141	439	2658
142	441	2644
143	442	2631
144	444	2619
145	445	2606
146	447	2594
147	448	2581
148	450	2572
149	452	2562
150	453	2550
151	455	2538
152	456	2528
153	458	2520
154	460	2512
155	462	2504
156	465	2498
157	466	2488
158	468	2477
159	469	2466
160	470	2453
161	472	2442
162	473	2431
163	474	2421
164	476	2410
165	477	2400
166	479	2391
167	480	2381
168	482	2371
169	483	2362
170	485	2351
171	486	2342
172	487	2332
173	489	2323
174	490	2314
175	492	2305
176	494	2299
177	496	2290
178	497	2281
179	498	2272
180	500	2264
181	501	2254
182	503	2245
183	504	2237
184	506	2229
185	507	2220
186	508	2212
187	510	2203
188	511	2195
189	513	2187
190	514	2179
191	515	2171
192	517	2163
193	518	2155
194	520	2147
195	521	2139
196	523	2131
197	524	2124
198	525	2116
199	526	2107
200	527	2098
201	529	2090
202	530	2081
203	531	2073
204	532	2064
205	533	2056
206	534	2048
207	535	2039
208	536	2031
209	537	2023
210	539	2016
211	540	2008
212	541	2001
213	542	1993
214	543	1986
215	545	1978
216	546	1970
217	547	1963
218	548	1955
219	549	1948
220	550	1940
221	551	1933
222	552	1926
223	554	1919
224	555	1912
225	556	1905
226	557	1898
227	558	1891
228	559	1884
229	560	1877
230	561	1870
231	563	1863
232	564	1857
233	565	1850
234	566	1843
235	567	1837
236	568	1830
237	569	1824
238	570	1817
239	571	1810
240	572	1804
241	574	1797
242	575	1791
243	576	1785
244	577	1780
245	578	1774
246	579	1768
247	581	1761
248	582	1755
249	583	1749
250	584	1743
251	585	1737
252	586	1731
253	587	1725
254	588	1719
255	589	1714
256	591	1708
257	592	1703
258	593	1697
259	594	1691
260	595	1686
261	596	1680
262	597	1675
263	598	1669
264	600	1664
265	601	1658
266	602	1653
267	603	1647
268	604	1642
269	605	1637
270	606	1631
271	607	1626
272	608	1621
273	609	1615
274	610	1610
275	612	1605
276	613	1600
277	614	1595
278	615	1590
279	616	1585
280	617	1580
281	618	1575
282	620	1571
283	621	1565
284	622	1560
285	623	1556
286	624	1551
287	625	1546
288	626	1541
289	627	1536
290	628	1532
291	629	1527
292	631	1522
293	632	1518
294	633	1513
295	634	1508
296	635	1504
297	636	1499
298	637	1495
299	638	1490
300	640	1486
301	641	1481
302	642	1477
303	643	1473
304	644	1468
305	646	1465
306	647	1461
307	648	1456
308	649	1452
309	650	1447
310	651	1443
311	652	1439
312	653	1434
313	654	1430
314	655	1426
315	656	1421
316	658	1418
317	659	1414
318	660	1410
319	661	1406
320	662	1401
321	663	1397
322	664	1393
323	666	1389
324	667	1385
325	668	1381
326	669	1377
327	670	1373
328	671	1369
329	672	1366
330	674	1362
331	675	1358
332	676	1354
333	677	1350
334	678	1346
335	679	1342
336	680	1339
337	681	1335
338	682	1331
339	683	1327
340	685	1323
341	686	1320
342	687	1317
343	689	1315
344	690	1311
345	692	1308
346	693	1304
347	694	1301
348	695	1297
349	696	1293
350	697	1289
351	698	1286
352	699	1282
353	701	1279
354	702	1275
355	703	1272
356	704	1268
357	705	1265
358	706	1261
359	707	1258
360	708	1254
361	710	1251
362	711	1247
363	712	1245
364	713	1241
365	715	1238
366	716	1235
367	717	1232
368	718	1228
369	719	1225
370	720	1221
371	721	1218
372	722	1215
373	724	1211
374	725	1209
375	726	1206
376	728	1203
377	729	1200
378	731	1198
379	732	1195
380	733	1191
381	734	1188
382	735	1185
383	736	1181
384	738	1178
385	739	1175
386	740	1172
387	741	1169
388	742	1166
389	743	1163
390	744	1160
391	746	1157
392	747	1154
393	748	1150
394	749	1147
395	750	1144
396	751	1141
397	752	1138
398	754	1136
399	755	1133
400	757	1131
401	758	1128
402	760	1126
403	761	1124
404	763	1121
405	764	1118
406	766	1116
407	767	1114
408	769	1112
409	770	1109
410	772	1106
411	773	1104
412	775	1102
413	777	1100
414	778	1097
415	780	1095
416	781	1093
417	783	1090
418	784	1088
419	786	1085
420	787	1082
421	789	1080
422	790	1078
423	791	1075
424	793	1074
425	795	1071
426	796	1069
427	798	1066
428	799	1064
429	801	1062
430	803	1060
431	804	1058
432	807	1056
433	809	1055
434	810	1052
435	812	1050
436	813	1048
437	814	1045
438	816	1043
439	817	1040
440	819	1038
441	822	1038
442	823	1035
443	825	1033
444	827	1031
445	828	1029
446	830	1027
447	832	1025
448	833	1023
449	835	1020
450	837	1019
451	839	1017
452	840	1014
453	841	1012
454	843	1010
455	845	1008
456	846	1005
457	848	1003
458	849	1001
459	851	1000
460	853	998
461	855	996
462	857	994
463	858	991
464	859	989
465	861	987
466	863	985
467	864	983
468	866	981
469	868	979
470	870	977
471	871	974
472	873	972
473	874	970
474	876	968
475	877	965
476	878	963
477	880	961
478	882	959
479	883	957
480	885	955
481	887	953
482	888	951
483	890	949
484	891	947
485	893	945
486	895	943
487	897	941
488	898	939
489	900	937
490	901	934
491	902	932
492	903	929
493	905	927
494	906	924
495	907	922
496	908	919
497	910	917
498	911	915
499	913	913
500	914	910
501	915	908
502	916	905
503	917	903
504	919	900
505	920	898
506	921	895
507	922	893
508	923	890
509	925	888
510	926	886
511	927	884
512	929	881
513	930	879
514	931	877
515	932	874
516	933	872
517	934	869
518	936	867
519	937	865
520	938	862
521	940	860
522	941	859
523	943	856
524	944	854
525	945	852
526	946	849
527	947	847
528	949	845
529	950	842
530	951	840
531	952	838
532	953	835
533	956	834
534	957	832
535	958	829
536	960	827
537	961	825
538	962	823
539	964	821
540	966	819
541	969	818
542	971	817
543	972	815
544	976	815
545	977	812
546	978	810
547	980	808
548	981	806
549	982	804
550	983	801
551	985	799
552	987	798
553	988	795
554	989	793
555	990	791
556	992	789
557	993	786
558	994	784
559	995	782
560	996	779
561	997	777
562	999	775
563	1001	774
564	1003	772
565	1004	770
566	1006	768
567	1007	766
568	1009	764
569	1010	762
570	1011	760
571	1012	757
572	1014	755
573	1018	755
574	1019	753
575	1020	751
576	1022	749
577	1024	747
578	1025	745
579	1026	743
580	1027	741
581	1031	740
582	1033	739
583	1034	737
584	1036	735
585	1037	733
586	1039	731
587	1040	728
588	1041	727
589	1043	725
590	1045	723
591	1047	721
592	1049	720
593	1051	718
594	1053	716
595	1055	715
596	1056	713
597	1057	711
598	1061	710
599	1063	708
600	1064	706
601	1066	705
602	1068	703
603	1069	701
604	1071	699
605	1072	697
606	1074	695
607	1077	694
608	1078	692
609	1080	690
610	1081	688
611	1082	686
612	1083	684
613	1085	682
614	1086	680
615	1088	678
616	1091	677
617	1093	676
618	1095	674
619	1096	672
620	1098	670
621	1100	668
622	1101	666
623	1102	664
624	1104	662
625	1107	661
626	1108	659
627	1110	657
628	1111	655
629	1112	653
630	1113	651
631	1114	649
632	1115	646
633	1116	644
634	1117	642
635	1119	640
636	1120	638
637	1122	636
638	1123	634
639	1124	632
640	1125	630
641	1126	628
642	1128	626
643	1129	624
644	1130	622
645	1131	620
646	1132	618
647	1133	615
648	1135	614
649	1137	612
650	1138	610
651	1139	608
652	1140	605
653	1141	603
654	1142	601
655	1143	599
656	1144	597
657	1145	595
658	1146	593
659	1147	591
660	1149	589
661	1150	587
662	1152	585
663	1153	583
664	1154	581
665	1155	579
666	1156	577
667	1157	575
668	1158	573
669	1160	571
670	1161	569
671	1162	567
672	1163	565
673	1165	563
674	1166	561
675	1168	559
676	1169	557
677	1170	555
678	1171	553
679	1172	551
680	1173	549
681	1174	547
682	1176	545
683	1177	543
684	1178	541
685	1179	540
686	1181	538
687	1182	536
688	1183	534
689	1185	532
690	1186	530
691	1188	528
692	1189	526
693	1190	524
694	1191	522
695	1192	520
696	1194	519
697	1195	517
698	1196	515
699	1198	513
700	1199	511
701	1201	509
702	1202	508
703	1204	506
704	1205	504
705	1207	502
706	1209	501
707	1211	499
708	1212	497
709	1214	495
710	1215	494
711	1217	492
712	1219	491
713	1221	489
714	1224	487
715	1226	486
716	1227	484
717	1229	482
718	1231	481
719	1232	479
720	1234	477
721	1235	475
722	1236	473
723	1239	472
724	1240	470
725	1242	468
726	1244	467
727	1245	465
728	1246	463
729	1248	461
730	1249	459
731	1251	458
732	1254	456
733	1255	454
734	1256	453
735	1258	451
736	1259	449
737	1261	447
738	1262	445
739	1264	444
740	1265	442
741	1267	440
742	1269	439
743	1270	437
744	1272	435
745	1273	433
746	1275	431
747	1276	430
748	1278	428
749	1279	426
750	1280	424
751	1282	422
752	1284	421
753	1286	419
754	1287	417
755	1289	416
756	1290	414
757	1291	412
758	1293	410
759	1294	408
760	1296	407
761	1298	405
762	1300	403
763	1301	402
764	1303	400
765	1304	398
766	1305	396
767	1307	394
768	1308	393
769	1310	391
770	1311	389
771	1314	388
772	1315	386
773	1316	384
774	1318	382
775	1319	380
776	1321	379
777	1322	377
778	1324	375
779	1325	373
780	1327	372
781	1329	370
782	1330	368
783	1332	367
784	1333	365
785	1335	363
786	1336	361
787	1338	360
788	1339	358
789	1341	356
790	1343	355
791	1345	353
792	1347	351
793	1348	349
794	1349	347
795	1350	346
796	1351	344
797	1352	342
798	1353	340
799	1355	338
800	1356	336
801	1357	335
802	1359	333
803	1360	331
804	1361	329
805	1362	327
806	1363	326
807	1364	324
808	1365	322
809	1367	320
810	1368	318
811	1369	317
812	1370	315
813	1371	313
814	1373	311
815	1374	309
816	1375	308
817	1376	306
818	1378	304
819	1379	302
820	1380	300
821	1381	299
822	1382	297
823	1383	295
824	1384	293
825	1385	291
826	1387	290
827	1389	288
828	1390	286
829	1391	285
830	1392	283
831	1393	281
832	1394	279
833	1395	277
834	1397	276
835	1398	274
836	1399	272
837	1400	270
838	1402	269
839	1403	267
840	1405	265
841	1406	263
842	1407	262
843	1408	260
844	1410	258
845	1411	256
846	1412	255
847	1413	253
848	1414	251
849	1415	249
850	1417	248
851	1419	246
852	1420	244
853	1422	243
854	1423	241
855	1424	239
856	1425	237
857	1426	236
858	1428	234
859	1429	232
860	1430	230
861	1435	229
862	1437	228
863	1438	226
864	1439	224
865	1441	222
866	1442	221
867	1443	219
868	1444	217
869	1446	216
870	1451	215
871	1453	213
872	1454	211
873	1455	209
874	1456	208
875	1457	206
876	1458	204
877	1460	202
878	1461	201
879	1463	199
880	1465	197
881	1466	196
882	1467	194
883	1468	192
884	1471	191
885	1473	189
886	1474	187
887	1475	186
888	1478	184
889	1480	182
890	1481	181
891	1483	179
892	1484	177
893	1485	176
894	1486	174
895	1487	172
896	1489	171
897	1490	169
898	1491	167
899	1493	165
900	1495	164
901	1496	162
902	1497	160
903	1498	159
904	1500	157
905	1501	155
906	1502	154
907	1503	152
908	1504	150
909	1506	148
910	1508	147
911	1510	145
912	1511	144
913	1512	142
914	1515	140
915	1517	139
916	1518	137
917	1519	135
918	1520	134
919	1522	132
920	1524	130
921	1525	129
922	1527	127
923	1528	125
924	1529	124
925	1530	122
926	1531	120
927	1532	118
928	1534	117
929	1535	115
930	1536	113
931	1538	112
932	1540	110
933	1541	108
934	1542	107
935	1544	105
936	1545	103
937	1546	102
938	1547	100
939	1549	98
940	1550	97
941	1552	95
942	1554	93
943	1555	92
944	1556	90
945	1558	88
946	1559	87
947	1560	85
948	1561	83
949	1562	82
950	1564	80
951	1565	78
952	1567	77
953	1568	75
954	1570	74
955	1572	72
956	1573	70
957	1574	69
958	1575	67
959	1576	65
960	1578	64
961	1579	62
962	1580	60
963	1582	59
964	1583	57
965	1584	55
966	1585	54
967	1587	52
968	1588	50
969	1589	49
970	1590	47
971	1591	45
972	1593	44
973	1594	42
974	1595	40
975	1597	39
976	1599	37
977	1600	36
978	1601	34
979	1603	32
980	1604	31
981	1605	29
982	1606	27
983	1607	26
984	1608	24
985	1610	22
986	1614	21
987	1615	19
988	1616	17
989	1617	16
990	1618	14
991	1620	13
992	1621	11
993	1622	9
994	1623	8
995	1624	6
996	1626	4
997	1628	3
998	1629	1
999	1630	0
