iter	Passed	Remaining
0	185	185406
1	186	93276
2	188	62546
3	189	47171
4	191	38105
5	192	31919
6	193	27509
7	195	24201
8	196	21608
9	197	19538
10	198	17842
11	199	16436
12	200	15245
13	201	14220
14	203	13333
15	204	12592
16	206	11911
17	207	11300
18	208	10753
19	209	10255
20	210	9806
21	211	9403
22	212	9033
23	213	8695
24	214	8383
25	216	8098
26	217	7832
27	219	7614
28	220	7387
29	221	7170
30	223	6972
31	224	6783
32	225	6606
33	226	6436
34	227	6273
35	228	6123
36	229	5983
37	231	5850
38	233	5745
39	234	5625
40	235	5506
41	236	5396
42	237	5284
43	238	5177
44	239	5074
45	239	4976
46	240	4882
47	241	4791
48	242	4706
49	243	4624
50	244	4544
51	245	4466
52	245	4392
53	247	4337
54	248	4270
55	249	4204
56	250	4139
57	251	4077
58	251	4017
59	252	3959
60	253	3902
61	254	3848
62	255	3795
63	256	3746
64	256	3696
65	257	3648
66	258	3601
67	259	3555
68	260	3511
69	262	3481
70	263	3442
71	264	3402
72	264	3364
73	265	3326
74	266	3288
75	267	3251
76	268	3215
77	268	3179
78	269	3145
79	270	3111
80	271	3078
81	272	3047
82	272	3012
83	273	2982
84	274	2953
85	275	2923
86	276	2903
87	277	2878
88	278	2851
89	279	2824
90	280	2798
91	280	2773
92	281	2748
93	282	2724
94	283	2700
95	284	2682
96	285	2659
97	286	2636
98	287	2614
99	288	2592
100	288	2571
101	289	2550
102	290	2531
103	292	2516
104	292	2496
105	293	2477
106	294	2457
107	295	2439
108	296	2420
109	297	2403
110	297	2385
111	298	2368
112	299	2351
113	300	2334
114	301	2318
115	302	2302
116	302	2285
117	303	2269
118	304	2253
119	305	2239
120	306	2229
121	307	2213
122	308	2198
123	309	2184
124	310	2170
125	310	2156
126	311	2141
127	312	2127
128	313	2115
129	314	2103
130	315	2091
131	316	2078
132	316	2065
133	317	2053
134	318	2041
135	319	2029
136	321	2022
137	322	2012
138	323	2000
139	323	1989
140	324	1978
141	325	1965
142	326	1954
143	326	1943
144	327	1932
145	328	1921
146	329	1911
147	330	1900
148	330	1890
149	331	1880
150	332	1870
151	333	1860
152	334	1850
153	335	1842
154	336	1834
155	337	1825
156	338	1817
157	339	1810
158	340	1800
159	341	1793
160	342	1783
161	343	1775
162	344	1767
163	345	1760
164	346	1753
165	347	1746
166	349	1740
167	351	1740
168	352	1732
169	353	1724
170	354	1716
171	354	1708
172	355	1700
173	356	1692
174	357	1684
175	358	1676
176	358	1669
177	359	1661
178	360	1654
179	361	1646
180	362	1639
181	363	1632
182	363	1624
183	364	1618
184	366	1613
185	367	1606
186	367	1599
187	368	1592
188	369	1585
189	370	1579
190	371	1572
191	372	1565
192	372	1559
193	373	1552
194	374	1546
195	375	1539
196	376	1533
197	376	1527
198	377	1520
199	378	1514
200	379	1509
201	381	1505
202	382	1500
203	383	1495
204	384	1491
205	385	1486
206	386	1481
207	387	1476
208	388	1472
209	390	1467
210	391	1462
211	392	1458
212	393	1453
213	395	1451
214	396	1448
215	397	1443
216	398	1439
217	399	1434
218	400	1429
219	402	1425
220	403	1421
221	404	1417
222	405	1412
223	406	1408
224	407	1404
225	409	1400
226	411	1399
227	412	1395
228	413	1391
229	414	1387
230	415	1382
231	416	1379
232	417	1374
233	418	1370
234	419	1366
235	420	1362
236	421	1358
237	422	1354
238	424	1351
239	425	1348
240	427	1345
241	428	1342
242	429	1339
243	431	1336
244	432	1332
245	433	1329
246	434	1325
247	436	1322
248	438	1321
249	439	1318
250	440	1314
251	441	1310
252	442	1307
253	443	1303
254	445	1300
255	446	1297
256	447	1293
257	448	1291
258	450	1288
259	452	1286
260	453	1283
261	454	1280
262	455	1276
263	456	1273
264	457	1270
265	458	1266
266	460	1263
267	461	1259
268	462	1256
269	463	1253
270	464	1250
271	466	1248
272	467	1246
273	469	1242
274	470	1239
275	471	1236
276	472	1233
277	473	1230
278	474	1226
279	476	1224
280	477	1221
281	478	1218
282	479	1215
283	481	1214
284	482	1211
285	484	1208
286	485	1205
287	486	1202
288	487	1199
289	488	1195
290	489	1192
291	490	1190
292	492	1187
293	493	1184
294	494	1181
295	496	1179
296	497	1177
297	498	1174
298	500	1172
299	501	1169
300	502	1167
301	503	1164
302	504	1161
303	506	1158
304	507	1155
305	508	1152
306	508	1148
307	509	1145
308	511	1143
309	512	1140
310	513	1137
311	513	1133
312	514	1129
313	515	1126
314	516	1122
315	517	1119
316	518	1116
317	518	1113
318	519	1110
319	520	1106
320	521	1103
321	522	1100
322	523	1096
323	524	1093
324	524	1090
325	526	1088
326	527	1085
327	528	1082
328	529	1079
329	530	1076
330	530	1072
331	531	1069
332	532	1067
333	533	1064
334	534	1060
335	535	1057
336	536	1054
337	536	1051
338	537	1048
339	538	1045
340	539	1042
341	541	1041
342	542	1038
343	543	1035
344	543	1032
345	544	1029
346	545	1026
347	546	1023
348	547	1020
349	548	1017
350	548	1014
351	549	1012
352	550	1009
353	551	1006
354	552	1003
355	552	1000
356	553	997
357	554	994
358	556	993
359	557	990
360	557	987
361	558	985
362	559	982
363	560	979
364	561	976
365	562	974
366	563	971
367	564	968
368	564	965
369	565	963
370	566	960
371	567	957
372	568	955
373	570	955
374	571	952
375	572	950
376	573	947
377	574	945
378	575	942
379	576	939
380	576	937
381	577	934
382	578	931
383	579	929
384	580	927
385	581	925
386	582	923
387	583	920
388	586	921
389	588	920
390	590	919
391	592	918
392	592	915
393	593	913
394	594	910
395	595	908
396	596	905
397	597	903
398	597	900
399	598	898
400	600	896
401	601	895
402	602	893
403	603	891
404	604	888
405	606	887
406	608	886
407	609	884
408	611	883
409	612	881
410	613	879
411	616	880
412	617	878
413	618	876
414	620	874
415	621	872
416	622	870
417	624	869
418	625	867
419	626	865
420	628	864
421	632	865
422	635	866
423	637	865
424	638	864
425	639	861
426	640	859
427	643	859
428	645	858
429	648	859
430	650	858
431	651	856
432	652	854
433	653	852
434	654	850
435	655	848
436	656	846
437	657	843
438	661	844
439	664	846
440	665	844
441	666	841
442	667	839
443	669	838
444	670	836
445	671	834
446	673	832
447	676	833
448	678	832
449	679	830
450	681	829
451	682	827
452	684	826
453	685	824
454	687	823
455	692	826
456	694	824
457	695	823
458	696	820
459	697	818
460	698	816
461	698	813
462	699	811
463	700	809
464	701	807
465	702	804
466	706	805
467	708	805
468	709	803
469	711	801
470	711	799
471	712	797
472	713	795
473	714	792
474	715	790
475	716	788
476	717	786
477	722	788
478	724	787
479	725	786
480	727	784
481	728	783
482	729	780
483	730	778
484	731	776
485	734	777
486	737	776
487	738	774
488	739	772
489	740	770
490	741	768
491	743	767
492	744	765
493	745	763
494	746	761
495	752	764
496	753	762
497	754	760
498	756	759
499	757	757
500	758	755
501	759	753
502	760	751
503	761	749
504	767	751
505	768	750
506	771	749
507	772	747
508	773	746
509	774	744
510	775	742
511	776	740
512	782	743
513	784	741
514	785	739
515	786	738
516	788	736
517	789	734
518	790	732
519	791	730
520	792	728
521	795	728
522	797	727
523	798	725
524	799	723
